club,region,area,tier,note
Alice Lane,Gauteng,Sandton,Collection,
Sandton,Gauteng,Sandton,Club,
Sandton CBD,Gauteng,Sandton,Club,
Morningside,Gauteng,Sandton,Club,
Sunninghill,Gauteng,Sandton,Club,
Bryanston,Gauteng,Sandton,Club,
Bryan Park,Gauteng,Bryanston,Club,
Melrose Arch,Gauteng,Johannesburg,Collection,
Rosebank,Gauteng,Johannesburg,Club,
Old Eds,Gauteng,Houghton,Club,
Braamfontein,Gauteng,Johannesburg,Club,
Milpark,Gauteng,Johannesburg,Club,
Victory Park,Gauteng,Randburg,Club,
Randburg,Gauteng,Randburg,Club,
Cresta,Gauteng,Randburg,Club,
Northgate,Gauteng,Randburg,Club,
Honeydew,Gauteng,Roodepoort,Club,
Roodepoort,Gauteng,Roodepoort,Club,
Horizon View,Gauteng,Roodepoort,Club,
Little Falls,Gauteng,Roodepoort,Club,
Krugersdorp,Gauteng,West Rand,Club,
Cradlestone,Gauteng,West Rand,Club,
Lonehill,Gauteng,Fourways,Club,
Dainfern,Gauteng,Fourways,Club,
Broadacres,Gauteng,Fourways,Club,
Cedar Square,Gauteng,Fourways,Club,
Waterfall,Gauteng,Midrand,Club,
Vodaworld,Gauteng,Midrand,Club,
Kyalami Corner,Gauteng,Midrand,Club,
Carlswald,Gauteng,Midrand,Club,
Bedfordview,Gauteng,East Rand,Club,
Eastgate,Gauteng,East Rand,Club,
Edenglen,Gauteng,East Rand,Club,
Greenstone Park,Gauteng,East Rand,Club,
Glen Acres,Gauteng,Kempton Park,Club,
Boksburg K90,Gauteng,Boksburg,Club,
Sunward Park,Gauteng,Boksburg,Club,
New Market,Gauteng,Alberton,Club,
Meyersdal,Gauteng,Alberton,Club,
Glenvista,Gauteng,Johannesburg South,Club,
Lenasia,Gauteng,Johannesburg South,Club,
Vereeniging,Gauteng,Vaal,Club,
Vanderbijlpark,Gauteng,Vaal,Club,
Menlyn Maine,Gauteng,Pretoria,Collection,
Menlyn,Gauteng,Pretoria,Club,
Faerie Glen,Gauteng,Pretoria East,Club,
Hazeldean,Gauteng,Pretoria East,Club,
Moreleta Park,Gauteng,Pretoria East,Club,
Groenkloof,Gauteng,Pretoria,Club,
Loftus,Gauteng,Pretoria,Club,
Hatfield,Gauteng,Pretoria,Club,
Sammy Marks Square,Gauteng,Pretoria Central,Club,
Tramshed,Gauteng,Pretoria Central,Club,
Watermeyer Park,Gauteng,Pretoria,Club,
Wonderboom,Gauteng,Pretoria North,Club,
Montana,Gauteng,Pretoria North,Club,
Centurion,Gauteng,Centurion,Club,Has padel courts
Eco Park,Gauteng,Centurion,Club,
Rooihuiskraal,Gauteng,Centurion,Club,
Silo District,Western Cape,V&A Waterfront,Collection,
Point,Western Cape,Green Point,Collection,Has a TrackMan simulator
Cape Town Foreshore,Western Cape,City Centre,Club,
Wembley Square,Western Cape,Gardens,Collection,Reopening as first Collection Urban Club
Claremont,Western Cape,Southern Suburbs,Club,
Kenilworth,Western Cape,Southern Suburbs,Club,
Constantia,Western Cape,Southern Suburbs,Club,
Steenberg,Western Cape,Tokai,Club,
Sun Valley,Western Cape,South Peninsula,Club,
Athlone,Western Cape,Cape Flats,Club,
Mitchells Plain,Western Cape,Cape Flats,Club,
N1 City,Western Cape,Goodwood,Club,
Century City,Western Cape,Century City,Club,
Table View,Western Cape,West Coast,Club,
Sunningdale,Western Cape,West Coast,Club,
Table Bay Mall,Western Cape,West Coast,Club,
Tygervalley,Western Cape,Northern Suburbs,Club,
Durbanville,Western Cape,Northern Suburbs,Club,
Brackenfell,Western Cape,Northern Suburbs,Club,
Okavango,Western Cape,Brackenfell,Club,
CapeGate,Western Cape,Kraaifontein,Club,
The Sanctuary,Western Cape,Somerset West,Club,
Waterstone Village,Western Cape,Somerset West,Club,
Stellenbosch,Western Cape,Winelands,Club,
Paarl,Western Cape,Winelands,Club,
George,Western Cape,Garden Route,Club,
Moses Mabhida,KwaZulu-Natal,Durban,Collection,
Gateway,KwaZulu-Natal,uMhlanga,Club,
La Lucia,KwaZulu-Natal,uMhlanga,Club,
Cornubia,KwaZulu-Natal,uMhlanga,Club,
Ballito,KwaZulu-Natal,North Coast,Club,
The Atrium,KwaZulu-Natal,Berea,Club,
Kings Park,KwaZulu-Natal,Durban,Club,
Bluff,KwaZulu-Natal,Durban South,Club,
Amanzimtoti,KwaZulu-Natal,South Coast,Club,
Pavilion,KwaZulu-Natal,Westville,Club,
Westville,KwaZulu-Natal,Westville,Club,Check whether this is the same club as Pavilion
Kloof,KwaZulu-Natal,Upper Highway,Club,
Hillcrest,KwaZulu-Natal,Upper Highway,Club,
Pietermaritzburg,KwaZulu-Natal,Pietermaritzburg,Club,
Cascades,KwaZulu-Natal,Pietermaritzburg,Club,
Richards Bay,KwaZulu-Natal,Zululand,Club,
Greenacres,Eastern Cape,Gqeberha,Club,
Humewood,Eastern Cape,Gqeberha,Club,
Lorraine,Eastern Cape,Gqeberha,Club,
Beacon Bay,Eastern Cape,East London,Club,
East London,Eastern Cape,East London,Club,
Fichardt Park,Free State,Bloemfontein,Club,
Welkom,Free State,Welkom,Club,
Middelburg,Mpumalanga,Middelburg,Club,
Mbombela,Mpumalanga,Nelspruit,Club,Riverside club closed July 2025
Polokwane,Limpopo,Polokwane,Club,
Thornhill,Limpopo,Polokwane,Club,
Kimberley,Northern Cape,Kimberley,Club,
Rustenburg,North West,Rustenburg,Club,
Potchefstroom,North West,Potchefstroom,Club,
Klerksdorp,North West,Klerksdorp,Club,
Airport Junction,Botswana,Gaborone,Club,
Maerua Mall,Namibia,Windhoek,Club,
Kleine Kuppe,Namibia,Windhoek,Club,
